t,plates,parcels,cont_frac,mean_v,max_v,subducted,created,accreted,absorbed,cont_lost,cont_grown,rifts,merges,initiations,active_rifts,sea_level,backarcs,arc_plates,weld_static,weld_locked,retired,dissolved,deposited,sediment,stress_p50,stress_p95,stress_max
0.25,12,639662,0.2744,18.26,45.42,92,2,2,248,0,3,0,0,11,0,0.0,0,0,0,0,0,0,3,0.0001,0.00,0.00,0.00
0.5,12,638861,0.2746,19.18,55.34,805,49,0,45,0,3,0,0,6,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
0.75,12,638479,0.2747,24.00,68.94,509,199,2,72,0,4,0,0,5,0,0.0,0,0,0,0,0,0,3,0.0003,0.00,0.00,0.00
1,12,638200,0.2748,27.01,82.15,541,280,1,18,0,4,0,0,3,0,0.0,0,0,0,0,0,0,4,0.0001,0.00,0.00,0.00
1.25,12,637940,0.2749,30.16,96.53,707,450,0,3,0,3,0,0,2,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
1.5,12,637713,0.2750,33.14,109.05,1023,796,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0001,0.00,0.00,0.00
1.75,12,637687,0.2750,36.26,120.25,903,877,0,0,0,3,0,0,1,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
2,12,637596,0.2751,39.36,129.46,1032,941,0,0,0,5,0,0,1,0,0.0,0,0,0,0,0,0,4,0.0000,0.00,0.00,0.00
2.25,12,637512,0.2751,41.69,137.44,1132,1048,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001,1.15,2.63,5.02
2.5,12,637356,0.2752,43.60,146.14,1185,1029,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
2.75,12,637112,0.2753,45.66,153.77,1425,1181,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000,0.00,0.00,0.00
3,12,636827,0.2754,47.46,160.23,1425,1140,0,0,0,6,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001,0.00,0.00,0.00
3.25,12,636669,0.2755,49.08,165.81,1384,1226,0,0,0,3,0,0,1,0,0.0,0,0,0,0,0,0,3,0.0002,0.00,0.00,0.00
3.5,12,636501,0.2756,50.36,170.60,1410,1242,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003,0.00,0.00,0.00
3.75,12,636157,0.2757,51.55,174.31,1620,1276,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0001,0.00,0.00,0.00
4,12,635914,0.2758,52.30,177.78,1544,1301,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001,0.00,0.00,0.00
4.25,12,635638,0.2760,53.29,180.09,1593,1317,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002,0.99,2.18,4.69
4.5,12,635314,0.2761,54.33,182.49,1737,1413,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003,0.00,0.00,0.00
